肖申克的救赎,1994
霸王别姬,1993
阿甘正传,1994
泰坦尼克号,1997
这个杀手不太冷,1994
美丽人生,1997
千与千寻,2001
辛德勒的名单,1993
盗梦空间,2010
星际穿越,2014
忠犬八公的故事,2009
楚门的世界,1998
海上钢琴师,1998
三傻大闹宝莱坞,2009
机器人总动员,2008
放牛班的春天,2004
无间道,2002
疯狂动物城,2016
大话西游之大圣娶亲,1995
熔炉,2011
控方证人,1957
教父,1972
当幸福来敲门,2006
触不可及,2011
怦然心动,2010
